"date","landingPagePath","source","medium","region","uniquePageviews","bounces","timeOnPage","sessions","newUsers","pageviews","exits","sessionDuration"
2020-06-11,"/office-of-admissions","(direct)","(none)","(not set)",12,3,1417,4,3,16,4,1416
2020-06-11,"/office-of-admissions","(direct)","(none)","Auvergne-Rhone-Alpes",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","(direct)","(none)","Connecticut",4,0,772,1,1,5,1,773
2020-06-11,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","(direct)","(none)","Maine",7,0,300,1,0,7,1,299
2020-06-11,"/office-of-admissions","(direct)","(none)","Moscow Oblast",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","(direct)","(none)","North Holland",3,3,0,3,3,3,3,0
2020-06-11,"/office-of-admissions","(direct)","(none)","Occitanie",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","(direct)","(none)","Ohio",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","(direct)","(none)","Virginia",1,1,0,1,1,1,1,0
2020-06-11,"/office-of-admissions","bing","organic","Maine",1,1,0,1,0,1,1,0
2020-06-11,"/office-of-admissions","google","organic","Maine",4,1,1331,2,0,4,2,1331
2020-06-12,"/office-of-admissions","(direct)","(none)","(not set)",5,5,0,5,5,5,5,0
2020-06-12,"/office-of-admissions","(direct)","(none)","Auvergne-Rhone-Alpes",1,1,0,1,1,1,1,0
2020-06-12,"/office-of-admissions","(direct)","(none)","Moscow Oblast",1,1,0,1,1,1,1,0
2020-06-12,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-12,"/office-of-admissions","(direct)","(none)","Ohio",1,1,0,1,1,1,1,0
2020-06-12,"/office-of-admissions","(direct)","(none)","Ontario",2,2,0,2,2,2,2,0
2020-06-12,"/office-of-admissions","(direct)","(none)","Santiago del Estero Province",1,1,0,1,1,1,1,0
2020-06-12,"/office-of-admissions","google","organic","Florida",1,1,0,1,1,1,1,0
2020-06-13,"/office-of-admissions","(direct)","(none)","(not set)",5,5,0,5,5,5,5,0
2020-06-13,"/office-of-admissions","(direct)","(none)","England",6,6,0,6,6,6,6,0
2020-06-13,"/office-of-admissions","(direct)","(none)","Ile-de-France",2,2,0,2,2,2,2,0
2020-06-13,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-13,"/office-of-admissions","(direct)","(none)","North Holland",2,2,0,2,2,2,2,0
2020-06-13,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-06-13,"/office-of-admissions","(direct)","(none)","Rhode Island",2,2,0,2,1,2,2,0
2020-06-13,"/office-of-admissions","(direct)","(none)","Saint Petersburg",1,1,0,1,1,1,1,0
2020-06-13,"/office-of-admissions","google","organic","Minnesota",7,0,1845,1,1,7,1,1846
2020-06-14,"/office-of-admissions","(direct)","(none)","(not set)",4,2,82,3,2,5,3,83
2020-06-14,"/office-of-admissions","(direct)","(none)","Buenos Aires",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","California",2,2,0,2,2,2,2,0
2020-06-14,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","Maryland",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","New Jersey",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-06-14,"/office-of-admissions","(direct)","(none)","Rhode Island",1,0,475,1,0,2,1,475
2020-06-15,"/office-of-admissions","(direct)","(none)","(not set)",6,6,0,6,5,6,6,0
2020-06-15,"/office-of-admissions","(direct)","(none)","Auvergne-Rhone-Alpes",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","Maryland",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","New Jersey",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-06-15,"/office-of-admissions","google","organic","Maine",3,0,62,1,0,5,1,62
2020-06-16,"/office-of-admissions","(direct)","(none)","(not set)",5,0,878,1,1,7,1,878
2020-06-16,"/office-of-admissions","(direct)","(none)","California",1,1,0,1,1,1,1,0
2020-06-16,"/office-of-admissions","(direct)","(none)","England",2,2,0,2,2,2,2,0
2020-06-16,"/office-of-admissions","(direct)","(none)","Ile-de-France",2,2,0,2,2,2,2,0
2020-06-16,"/office-of-admissions","(direct)","(none)","Moscow Oblast",1,1,0,1,1,1,1,0
2020-06-16,"/office-of-admissions","(direct)","(none)","Ontario",2,2,0,2,2,2,2,0
2020-06-16,"/office-of-admissions","apply.commonapp.org","referral","(not set)",1,1,0,1,0,1,1,0
2020-06-16,"/office-of-admissions","google","organic","Maine",5,0,537,1,0,5,1,538
2020-06-16,"/office-of-admissions","studyabroadnations.com","referral","Gauteng",3,0,24,1,0,3,1,25
2020-06-17,"/office-of-admissions","(direct)","(none)","(not set)",7,6,1045,7,6,8,7,1045
2020-06-17,"/office-of-admissions","(direct)","(none)","California",1,1,0,1,1,1,1,0
2020-06-17,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-17,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-17,"/office-of-admissions","(direct)","(none)","Ontario",2,2,0,2,2,2,2,0
2020-06-17,"/office-of-admissions","(direct)","(none)","Pennsylvania",3,0,114,1,1,3,1,114
2020-06-17,"/office-of-admissions","(direct)","(none)","Saint Petersburg",2,2,0,2,2,2,2,0
2020-06-17,"/office-of-admissions","(direct)","(none)","Saskatchewan",1,1,0,1,1,1,1,0
2020-06-17,"/office-of-admissions","(direct)","(none)","Washington",1,1,0,1,1,1,1,0
2020-06-17,"/office-of-admissions","google","organic","Maine",1,1,0,1,0,1,1,0
2020-06-17,"/office-of-admissions","google","organic","Massachusetts",1,1,0,1,0,1,1,0
2020-06-18,"/office-of-admissions","(direct)","(none)","(not set)",4,3,27,4,4,5,4,27
2020-06-18,"/office-of-admissions","(direct)","(none)","Ile-de-France",1,1,0,1,1,1,1,0
2020-06-18,"/office-of-admissions","(direct)","(none)","New Jersey",1,1,0,1,1,1,1,0
2020-06-18,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-18,"/office-of-admissions","(direct)","(none)","Santiago del Estero Province",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","(not set)",4,4,0,4,4,4,4,0
2020-06-19,"/office-of-admissions","(direct)","(none)","California",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","Moscow Oblast",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","Ontario",2,2,0,2,2,2,2,0
2020-06-19,"/office-of-admissions","(direct)","(none)","Rhode Island",1,1,0,1,0,1,1,0
2020-06-19,"/office-of-admissions","(direct)","(none)","Saint Petersburg",1,1,0,1,1,1,1,0
2020-06-19,"/office-of-admissions","google","organic","Maine",2,0,13,1,0,2,1,13
2020-06-19,"/office-of-admissions","scholarship-positions.com","referral","Southern Nations, Nationalities, and People's Region",1,1,0,1,0,1,1,0
2020-06-20,"/office-of-admissions","(direct)","(none)","(not set)",6,6,0,6,6,6,6,0
2020-06-20,"/office-of-admissions","(direct)","(none)","Auvergne-Rhone-Alpes",2,2,0,2,2,2,2,0
2020-06-20,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-20,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-20,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-06-21,"/office-of-admissions","(direct)","(none)","(not set)",4,3,22,4,4,5,4,22
2020-06-21,"/office-of-admissions","(direct)","(none)","Brittany",1,1,0,1,1,1,1,0
2020-06-21,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-21,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-21,"/office-of-admissions","(direct)","(none)","Ontario",3,3,0,3,3,3,3,0
2020-06-21,"/office-of-admissions","(direct)","(none)","Saint Petersburg",2,2,0,2,2,2,2,0
2020-06-21,"/office-of-admissions","(direct)","(none)","Scotland",3,3,0,3,3,3,3,0
2020-06-22,"/office-of-admissions","(direct)","(none)","(not set)",5,5,0,5,5,5,5,0
2020-06-22,"/office-of-admissions","(direct)","(none)","California",1,1,0,1,1,1,1,0
2020-06-22,"/office-of-admissions","(direct)","(none)","Scotland",1,1,0,1,1,1,1,0
2020-06-22,"/office-of-admissions","google","organic","Maine",5,0,926,1,1,7,1,925
2020-06-23,"/office-of-admissions","(direct)","(none)","(not set)",4,4,0,4,4,4,4,0
2020-06-23,"/office-of-admissions","(direct)","(none)","California",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","(direct)","(none)","Colorado",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","(direct)","(none)","District of Columbia",5,0,62,1,1,6,1,61
2020-06-23,"/office-of-admissions","(direct)","(none)","Ile-de-France",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","(direct)","(none)","Minnesota",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","(direct)","(none)","New Jersey",2,2,0,2,2,2,2,0
2020-06-23,"/office-of-admissions","(direct)","(none)","Nouvelle-Aquitaine",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","(direct)","(none)","Saint Petersburg",1,1,0,1,1,1,1,0
2020-06-23,"/office-of-admissions","google","organic","Maine",12,1,871,3,1,18,3,871
2020-06-23,"/office-of-admissions","google","organic","North Carolina",1,1,0,1,1,1,1,0
2020-06-24,"/office-of-admissions","(direct)","(none)","New Jersey",1,1,0,1,1,1,1,0
2020-06-24,"/office-of-admissions","(direct)","(none)","Ontario",3,3,0,3,3,3,3,0
2020-06-24,"/office-of-admissions","(direct)","(none)","Pays de la Loire",2,2,0,2,2,2,2,0
2020-06-24,"/office-of-admissions","(direct)","(none)","Saskatchewan",1,1,0,1,1,1,1,0
2020-06-24,"/office-of-admissions","(direct)","(none)","Scotland",2,2,0,2,2,2,2,0
2020-06-24,"/office-of-admissions","bing","organic","Maine",3,0,445,1,0,3,1,445
2020-06-24,"/office-of-admissions","google","organic","Maine",2,0,213,1,0,2,1,213
2020-06-25,"/office-of-admissions","(direct)","(none)","(not set)",2,2,0,2,2,2,2,0
2020-06-25,"/office-of-admissions","(direct)","(none)","Colorado",1,1,0,1,1,1,1,0
2020-06-25,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-06-26,"/office-of-admissions","google","organic","Maine",1,1,0,1,1,1,1,0
2020-06-27,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-06-27,"/office-of-admissions","(direct)","(none)","England",1,0,49,1,1,2,1,49
2020-06-27,"/office-of-admissions","(direct)","(none)","Occitanie",1,1,0,1,1,1,1,0
2020-06-28,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-06-28,"/office-of-admissions","apply.commonapp.org","referral","Chittagong Division",3,0,176,1,0,4,1,177
2020-06-29,"/office-of-admissions","(direct)","(none)","Minnesota",2,0,10,1,1,2,1,10
2020-06-29,"/office-of-admissions","(direct)","(none)","New Jersey",1,1,0,1,1,1,1,0
2020-06-29,"/office-of-admissions","google","organic","Maine",1,1,0,1,0,1,1,0
2020-06-29,"/office-of-admissions","maine.edu","referral","Maine",4,0,316,1,0,5,1,316
2020-06-30,"/office-of-admissions","(direct)","(none)","District of Columbia",2,0,18,1,1,2,1,18
2020-06-30,"/office-of-admissions","bing","organic","Maine",3,0,57,1,0,3,1,57
2020-06-30,"/office-of-admissions","google","organic","Maine",4,0,264,2,1,4,2,263
2020-07-01,"/office-of-admissions","google","organic","Maine",1,1,0,1,0,1,1,0
2020-07-01,"/office-of-admissions","google","organic","Massachusetts",1,1,0,1,0,1,1,0
2020-07-01,"/office-of-admissions","google","organic","New York",2,0,9,1,1,2,1,9
2020-07-02,"/office-of-admissions","(direct)","(none)","(not set)",2,2,0,2,2,2,2,0
2020-07-02,"/office-of-admissions","google","organic","Tennessee",3,0,29,1,0,3,1,29
2020-07-03,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-07-03,"/office-of-admissions","(direct)","(none)","Moscow Oblast",1,1,0,1,1,1,1,0
2020-07-03,"/office-of-admissions","google","organic","Maine",3,0,79,1,0,3,1,79
2020-07-03,"/office-of-admissions","google","organic","Rhode Island",2,2,0,2,2,2,2,0
2020-07-04,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,1,1,1,0
2020-07-04,"/office-of-admissions","google","organic","Florida",5,1,379,2,1,6,2,380
2020-07-05,"/office-of-admissions","(direct)","(none)","Ontario",2,2,0,2,2,2,2,0
2020-07-06,"/office-of-admissions","(direct)","(none)","Maine",2,0,9,1,0,2,1,9
2020-07-06,"/office-of-admissions","(direct)","(none)","State of Maranhao",2,0,42,1,1,2,1,42
2020-07-06,"/office-of-admissions","google","organic","Maine",3,0,161,1,0,3,1,161
2020-07-06,"/office-of-admissions","google","organic","Massachusetts",1,0,201,1,0,2,1,201
2020-07-06,"/office-of-admissions","google","organic","New York",4,0,287,1,0,4,1,286
2020-07-07,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-07-07,"/office-of-admissions","google","organic","Maine",2,0,108,1,0,3,1,108
2020-07-07,"/office-of-admissions","google","organic","New York",5,0,155,1,0,9,1,155
2020-07-07,"/office-of-admissions","google","organic","Rhode Island",1,1,0,1,1,1,1,0
2020-07-07,"/office-of-admissions","google","organic","South Carolina",1,1,0,1,1,1,1,0
2020-07-07,"/office-of-admissions","yahoo","organic","Maine",2,0,33,1,0,2,1,33
2020-07-08,"/office-of-admissions","(direct)","(none)","Ontario",1,1,0,1,1,1,1,0
2020-07-08,"/office-of-admissions","(direct)","(none)","Vermont",3,0,8,1,1,3,1,8
2020-07-08,"/office-of-admissions","google","organic","Texas",1,1,0,1,1,1,1,0
2020-07-09,"/office-of-admissions","(direct)","(none)","(not set)",2,2,0,2,2,2,2,0
